id,name,region,metropolitan_area,province,province_initials,catastal_code,,,cap,,
1,Agliè,Piemonte,Torino,,TO,A074,0,0,10011,0,0
2,Airasca,Piemonte,Torino,,TO,A109,0,0,10060,0,0
3,Ala di Stura,Piemonte,Torino,,TO,A117,0,0,10070,0,0
4,Albiano d'Ivrea,Piemonte,Torino,,TO,A157,0,0,10010,0,0
5,Alice Superiore,Piemonte,Torino,,TO,A199,0,0,10010,0,0
6,Almese,Piemonte,Torino,,TO,A218,0,0,10040,0,0
7,Alpette,Piemonte,Torino,,TO,A221,0,0,10080,0,0
8,Alpignano,Piemonte,Torino,,TO,A222,0,0,10091,0,0
9,Andezeno,Piemonte,Torino,,TO,A275,0,0,10020,0,0
10,Andrate,Piemonte,Torino,,TO,A282,0,0,10010,0,0
11,Angrogna,Piemonte,Torino,,TO,A295,0,0,10060,0,0
12,Arignano,Piemonte,Torino,,TO,A405,0,0,10020,0,0
13,Avigliana,Piemonte,Torino,,TO,A518,0,0,10051,0,0
14,Azeglio,Piemonte,Torino,,TO,A525,0,0,10010,0,0
15,Bairo,Piemonte,Torino,,TO,A584,0,0,10010,0,0
16,Balangero,Piemonte,Torino,,TO,A587,0,0,10070,0,0
17,Baldissero Canavese,Piemonte,Torino,,TO,A590,0,0,10080,0,0
18,Baldissero Torinese,Piemonte,Torino,,TO,A591,0,0,10020,0,0
19,Balme,Piemonte,Torino,,TO,A599,0,0,10070,0,0
20,Banchette,Piemonte,Torino,,TO,A607,0,0,10010,0,0
21,Barbania,Piemonte,Torino,,TO,A625,0,0,10070,0,0
22,Bardonecchia,Piemonte,Torino,,TO,A651,0,0,10052,0,0
23,Barone Canavese,Piemonte,Torino,,TO,A673,0,0,10010,0,0
24,Beinasco,Piemonte,Torino,,TO,A734,0,0,10092,0,0
25,Bibiana,Piemonte,Torino,,TO,A853,0,0,10060,0,0verb
26,Bobbio Pellice,Piemonte,Torino,,TO,A910,0,0,10060,0,0
27,Bollengo,Piemonte,Torino,,TO,A941,0,0,10012,0,0
28,Borgaro Torinese,Piemonte,Torino,,TO,A990,0,0,10071,0,0
29,Borgiallo,Piemonte,Torino,,TO,B003,0,0,10080,0,0
30,Borgofranco d'Ivrea,Piemonte,Torino,,TO,B015,0,0,10013,0,0
31,Borgomasino,Piemonte,Torino,,TO,B021,0,0,10031,0,0
32,Borgone Susa,Piemonte,Torino,,TO,B024,0,0,10050,0,0
33,Bosconero,Piemonte,Torino,,TO,B075,0,0,10080,0,0
34,Brandizzo,Piemonte,Torino,,TO,B121,0,0,10032,0,0
35,Bricherasio,Piemonte,Torino,,TO,B171,0,0,10060,0,0
36,Brosso,Piemonte,Torino,,TO,B205,0,0,10080,0,0
37,Brozolo,Piemonte,Torino,,TO,B209,0,0,10020,0,0
38,Bruino,Piemonte,Torino,,TO,B216,0,0,10090,0,0
39,Brusasco,Piemonte,Torino,,TO,B225,0,0,10020,0,0
40,Bruzolo,Piemonte,Torino,,TO,B232,0,0,10050,0,0
41,Buriasco,Piemonte,Torino,,TO,B278,0,0,10060,0,0
42,Burolo,Piemonte,Torino,,TO,B279,0,0,10010,0,0
43,Busano,Piemonte,Torino,,TO,B284,0,0,10080,0,0
44,Bussoleno,Piemonte,Torino,,TO,B297,0,0,10053,0,0
45,Buttigliera Alta,Piemonte,Torino,,TO,B305,0,0,10090,0,0
46,Cafasse,Piemonte,Torino,,TO,B350,0,0,10070,0,0
47,Caluso,Piemonte,Torino,,TO,B435,0,0,10014,0,0
48,Cambiano,Piemonte,Torino,,TO,B462,0,0,10020,0,0
49,Campiglione Fenile,Piemonte,Torino,,TO,B512,0,0,10060,0,0
50,Candia Canavese,Piemonte,Torino,,TO,B588,0,0,10010,0,0
51,Candiolo,Piemonte,Torino,,TO,B592,0,0,10060,0,0
52,Canischio,Piemonte,Torino,,TO,B605,0,0,10080,0,0
53,Cantalupa,Piemonte,Torino,,TO,B628,0,0,10060,0,0
54,Cantoira,Piemonte,Torino,,TO,B637,0,0,10070,0,0
55,Caprie,Piemonte,Torino,,TO,B705,0,0,10040,0,0
56,Caravino,Piemonte,Torino,,TO,B733,0,0,10010,0,0
57,Carema,Piemonte,Torino,,TO,B762,0,0,10010,0,0
58,Carignano,Piemonte,Torino,,TO,B777,0,0,10041,0,0
59,Carmagnola,Piemonte,Torino,,TO,B791,0,0,10022,0,0
60,Casalborgone,Piemonte,Torino,,TO,B867,0,0,10020,0,0
61,Cascinette d'Ivrea,Piemonte,Torino,,TO,B953,0,0,10010,0,0
62,Caselette,Piemonte,Torino,,TO,B955,0,0,10040,0,0
63,Caselle Torinese,Piemonte,Torino,,TO,B960,0,0,10072,0,0
64,Castagneto Po,Piemonte,Torino,,TO,C045,0,0,10090,0,0
65,Castagnole Piemonte,Piemonte,Torino,,TO,C048,0,0,10060,0,0
66,Castellamonte,Piemonte,Torino,,TO,C133,0,0,10081,0,0
67,Castelnuovo Nigra,Piemonte,Torino,,TO,C241,0,0,10080,0,0
68,Castiglione Torinese,Piemonte,Torino,,TO,C307,0,0,10090,0,0
69,Cavagnolo,Piemonte,Torino,,TO,C369,0,0,10020,0,0
70,Cavour,Piemonte,Torino,,TO,C404,0,0,10061,0,0
71,Cercenasco,Piemonte,Torino,,TO,C487,0,0,10060,0,0
72,Ceres,Piemonte,Torino,,TO,C497,0,0,10070,0,0
73,Ceresole Reale,Piemonte,Torino,,TO,C505,0,0,10080,0,0
74,Cesana Torinese,Piemonte,Torino,,TO,C564,0,0,10054,0,0
75,Chialamberto,Piemonte,Torino,,TO,C604,0,0,10070,0,0
76,Chianocco,Piemonte,Torino,,TO,C610,0,0,10050,0,0
77,Chiaverano,Piemonte,Torino,,TO,C624,0,0,10010,0,0
78,Chieri,Piemonte,Torino,,TO,C627,0,0,10023,0,0
79,Chiesanuova,Piemonte,Torino,,TO,C629,0,0,10080,0,0
80,Chiomonte,Piemonte,Torino,,TO,C639,0,0,10050,0,0
81,Chiusa di San Michele,Piemonte,Torino,,TO,C655,0,0,10050,0,0
82,Chivasso,Piemonte,Torino,,TO,C665,0,0,10034,0,0
83,Ciconio,Piemonte,Torino,,TO,C679,0,0,10080,0,0
84,Cintano,Piemonte,Torino,,TO,C711,0,0,10080,0,0
